311904570395734016	positive	Ob das das Internet aushält ? Soviel Papst auf einmal . Habemus ... %PosSmiley	ob die die Internet aushalten ? soviele Papst auf einmal . Habemus ... %PosSmiley	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. ITJ	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 0/-- 8/MNR 9/NK 10/-- 0/-- 12/-- 12/NK	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311929676140519424	negative	Titel der morgigen Bild - Zeitung : " SKANDAL ! Die Argentinier nehmen uns die Arbeitsplätze weg ! " Papst	Titel die morgig Bild - Zeitung : " Skandal ! die Argentinier nehmen wir die Arbeitsplatz weg ! " Papst	NN ART ADJA NN $( NN $. $( NN $. ART NN VVFIN PPER ART NN PTKVZ $. $( NN	0/-- 4/NK 4/NK 1/AG 4/-- 4/NK 6/-- 7/-- 6/SB 9/-- 12/NK 13/OA 0/-- 13/DA 16/NK 13/OA 13/SVP 17/-- 18/-- 0/--	case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True case=gen|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ _ EmoExpression::markable_10050121::Polarity=negative|EmoExpression::markable_10050121::EmoExpression=True|EmoExpression::markable_10050121::SubjectiveFact=false|EmoExpression::markable_10050121::Intensity=strong|EmoExpression::markable_10050121::Sarcasm=false|EmoExpression::markable_10050121::Uncertain=false _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|*=True|num=pl|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ case=nom|gender=masc|num=sg
311920886691295236	neutral	Da hat Hape Kerkeling aber lange zum verkleiden gebraucht papst	da haben Hape Kerkeling aber lange zu verkleiden gebraucht papst	ADV VAFIN ADJA NN ADV ADV APPRART VVFIN ADJD ADJA	2/MO 0/-- 4/NK 2/SB 2/MO 7/MO 2/MO 10/OC 8/MO 7/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=fem|num=sg _ _ case=dat|gender=neut|num=sg _ _ pers=2|num=sg|tense=pres|mood=ind
311922170798428160	neutral	Der Papst ist aber auch schon 76 ¿ Ich habe gerade für werder mitgebetet . %Smiley	die Papst sein aber auch schon @card@ ¿ ich haben gerade für werder mitgebetet . %Smiley	ART NN VAFIN ADV ADV ADV CARD NN PPER VAFIN ADV APPR NN VVPP $. ITJ	2/NK 3/SB 0/-- 3/MO 8/MO 7/MO 8/NK 3/SB 10/SB 3/CJ 14/MO 14/MO 12/NK 10/OC 14/-- 0/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ _ gender=masc|*=True case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=neut|num=pl _ _ _
311917764547866624	neutral	" Ich bin heute zu ihnen gekommen , um ihnen ihre Ausreise ... " " AH " Papst	" ich sein heute zu sie kommen , um sie ihr Ausreise ... " " ah " Papst	$( PPER VAFIN ADV APPR PPER VVPP $, KOUI PPER PPOSAT NN $. $( $( ITJ $( NN	2/-- 3/SB 0/-- 7/MO 7/MO 5/NK 3/OC 7/-- 7/MO 9/NK 12/NK 9/NK 12/-- 16/-- 14/-- 0/NK 16/-- 0/--	_ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=dat|*=True|num=pl|pers=3 _ _ _ case=dat|*=True|num=pl|pers=3 case=acc|gender=fem|num=pl case=acc|gender=masc|num=pl _ _ _ _ _ case=nom|gender=masc|num=sg
311908004758974464	neutral	Weiss man schon was ? Am Schluss wird ' s noch der Berlusconi sein pope papst	Weiß man schon was ? an Schluss werden ' s noch die Berlusconi sein pope papst	NN PIS ADV PIS $. APPRART NN VAFIN $( NN ADV ART NN PPOSAT NN ADJA	0/-- 1/SB 4/MO 1/OA 4/-- 8/MO 6/NK 0/-- 8/-- 16/SB 13/MO 13/NK 16/SB 15/NK 16/OA 8/SB	case=nom|gender=masc|num=sg case=nom|*=True|num=sg _ gender=neut|*=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind
311916557741731841	neutral	Ich lichte mal das Geheimnis : Ich bin Pabst ! NewPope	ich lichten mal die Geheimnis : ich sein Pabst ! NewPope	PPER VVFIN ADV ART NN $. PPER VAFIN NE $. ADJA	2/SB 0/-- 2/MO 5/NK 2/OA 5/-- 8/SB 2/CJ 8/PD 9/-- 0/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _
311915401888006144	neutral	Ok , wer jetzt den Namen als erster twittert , geht in die Geschichte ein. papst	Ok , wer jetzt die Name als erst twittert , gehen in die Geschichte ein. papst	NE $, PWS ADV ART NN KOKOM ADJA VVFIN $, VVFIN APPR ART NN NE ADJA	11/SB 1/-- 9/SB 9/MO 6/NK 9/OA 9/CM 9/MO 1/RC 9/-- 0/-- 11/MO 14/NK 12/NK 14/NK 15/PNC	case=nom|*=True|num=sg _ case=nom|*=True|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind
311919557151436800	neutral	Gesegnet sei die Medien - KuH ! Euer Papst	segnen sein die Medium - Kuh ! euer Papst	VVPP VAFIN ART NN $( NN $. PPOSAT NN	2/PD 0/-- 4/NK 2/SB 4/-- 4/APP 6/-- 9/NK 0/--	_ pers=3|num=sg|tense=pres|mood=subj case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg case=nom|*=True|num=sg
311909148180762625	negative	Wie mit Felix Baumgartner . Ganz zufällig zur Primetime. papst	wie mit Felix Baumgartner . ganz zufällig zu Primetime. Papst	KOKOM APPR NE NE $. ADV ADJD APPRART ADJA NN	2/CM 0/-- 4/PNC 2/NK 4/-- 7/MO 0/-- 7/MO 10/NK 8/NK	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_104013086::Intensity=medium|EmoExpression::markable_104013086::SubjectiveFact=false|EmoExpression::markable_104013086::EmoExpression=True|EmoExpression::markable_104013086::Polarity=negative|EmoExpression::markable_104013086::Sarcasm=true|EmoExpression::markable_104013086::Uncertain=false pos=True|EmoExpression::markable_104013086::EmoExpression=True case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=acc|gender=masc|num=sg
311919263147520001	neutral	+ + + HABEMUS PAPAM + + + DER 266. PAPST HEISST FRANZISKUS + + + ALLE INFOS UND LIVE - STREAM BEI %Link + + +	+ + + HABEMUS PAPAM + + + die @ord@ Papst heißen Franziskus + + + alle Info und live - STREAM bei %Link + + +	KON KON KON NN NE KON KON KON ART ADJA NN VVFIN NE KON KON KON PIAT NN KON ADJD $( NN PTKVZ XY KON KON KON	12/JU 12/MO 2/CD 3/CJ 4/NK 2/UC 6/CD 7/CD 11/NK 11/NK 8/CJ 0/-- 12/SB 18/CD 14/CD 15/CD 16/CJ 12/OA 18/CD 22/PNC 20/-- 19/CJ 12/MO 23/NK 23/CD 25/CD 26/CD	_ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ pos=True _ case=nom|gender=fem|num=sg|pers=2 pos=True _ _ _ _
311924487513841667	neutral	Also ich würde das machen , wenn ich Papst wäre . Aber so weit bin ich noch nicht . Jetzt erst mal die 600 Follower anvisieren	also ich werden die machen , wenn ich Papst sein . aber so weit sein ich noch nicht . jetzt erst mal die 600 Follower anvisieren	ADV PPER VAFIN PDS VVINF $, KOUS PPER NN VAFIN $. KON ADV ADJD VAFIN PPER ADV PTKNEG $. ADV ADV ADV ART CARD NN VVFIN	2/MO 3/SB 0/-- 5/OA 3/OC 5/-- 10/CP 10/SB 10/PD 5/MO 10/-- 15/JU 14/MO 15/MO 0/-- 15/SB 18/MO 15/NG 18/-- 26/MO 22/MO 26/MO 25/NK 25/NK 26/OA 0/--	_ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=subj case=acc|gender=neut|num=sg _ _ _ case=nom|*=True|num=sg|pers=1 case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj _ _ _ pos=True pers=1|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=1 _ _ _ _ _ _ case=acc|gender=neut|num=pl _ case=acc|gender=neut|num=pl _
311915806235693058	neutral	Kinder macht mal hinne , ich will noch telefonieren. habemuspapam papst	Kind machen mal hinne , ich wollen noch telefonieren. habemuspapam papst	NN VVFIN ADV VVFIN $, PPER VMFIN ADV NE NE ADJA	2/SB 0/-- 2/MO 9/NK 4/-- 7/SB 4/OC 7/MO 2/SB 9/UC 2/MO	case=nom|gender=neut|num=pl pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=subj _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ _
311919500524126209	neutral	Die Hand Gottes und Argentinien - das kennt man doch. papst maradona	die Hand Gott und Argentinien - die kennen man doch. Papst maradona	ART NN NN KON NE $( PDS VVFIN PIS ADJA NN NE	2/NK 7/RE 2/AG 3/CD 4/CJ 5/-- 8/SB 0/-- 8/SB 11/NK 8/DA 11/AG	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=gen|gender=masc|num=sg _ case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|*=True|num=sg _ _
